2526	2687	d
5171	5313	d
7784	7964	d
10447	10604	d
13112	13266	d
15742	15905	d
18403	18589	d
20984	21183	d
23632	23806	d
26291	26474	d
28927	29123	d
31591	31758	d
34245	34417	d
36889	37054	d
42154	42329	d
44805	44978	d
47431	47632	d
50080	50242	d
52747	52916	d
55398	55580	d
58058	58223	d
60646	60808	d
63278	63480	d
65950	66117	d
68604	68770	d
71256	71425	d
73907	74089	d
76559	76709	d
81811	81983	d
84450	84632	d
87122	87297	d
89782	89958	d
92431	92610	d
95069	95260	d
97718	97899	d
2840	3178	i
5891	6216	i
8930	9276	i
11996	12318	i
15035	15368	i
18087	18425	i
21147	21468	i
24200	24525	i
27263	27561	i
30278	30614	i
33351	33665	i
36399	36726	i
42500	42830	i
45541	45875	i
48589	48921	i
51637	51966	i
54709	55007	i
57749	58072	i
60794	61108	i
63831	64179	i
66893	67228	i
69941	70285	i
72996	73325	i
76060	76380	i
79148	79399	i
82160	82486	i
85206	85501	i
88259	88591	i
91322	91644	i
94380	94709	i
97437	97737	i
