2493	2654	d
5081	5276	d
7700	7864	d
10292	10465	d
12902	13059	d
15522	15661	d
18087	18264	d
20697	20873	d
23282	23475	d
25888	26050	d
28484	28680	d
31108	31270	d
33712	33869	d
36287	36476	d
38874	39083	d
41478	41680	d
44095	44241	d
46701	46881	d
49288	49477	d
51901	52074	d
54490	54660	d
57128	57264	d
59690	59852	d
62286	62440	d
64895	65067	d
67498	67666	d
70088	70274	d
72696	72872	d
75298	75447	d
77922	78060	d
80496	80608	d
83093	83243	d
85692	85870	d
88295	88465	d
90896	91075	d
93488	93680	d
96089	96270	d
