2507	2660	d
5143	5293	d
7811	7955	d
10416	10624	d
13088	13240	d
15731	15912	d
18378	18577	d
20993	21162	d
23658	23813	d
26293	26451	d
28950	29114	d
31582	31771	d
34237	34417	d
36910	37065	d
42127	42333	d
44788	44944	d
47432	47611	d
50081	50266	d
52747	52924	d
55381	55548	d
58027	58221	d
60638	60816	d
63280	63488	d
65936	66140	d
68590	68743	d
71250	71420	d
73892	74073	d
76534	76709	d
81789	81951	d
84431	84615	d
87085	87237	d
89732	89916	d
92386	92568	d
95035	95206	d
97681	97845	d
2841	3165	i
5882	6203	i
8927	9251	i
11974	12324	i
15036	15341	i
18087	18415	i
21134	21467	i
24203	24515	i
27252	27559	i
30286	30621	i
33357	33674	i
36383	36728	i
42485	42812	i
45527	45859	i
48602	48903	i
51618	51962	i
54698	55016	i
57732	58064	i
60783	61114	i
63837	64175	i
66899	67219	i
69939	70233	i
72989	73324	i
76047	76366	i
82127	82463	i
85185	85507	i
88234	88560	i
91270	91611	i
94321	94658	i
97369	97713	i
