3000	41	i
6041	57	i
9098	60	i
12158	43	i
15201	60	i
18261	59	i
21320	43	i
24363	43	i
27406	47	i
30453	43	i
33496	51	i
36547	51	i
39598	48	i
42646	50	i
45696	43	i
48739	41	i
51780	59	i
54839	42	i
57881	45	i
60926	47	i
63973	59	i
67032	44	i
70076	60	i
73136	59	i
76195	45	i
79240	46	i
82286	49	i
85335	47	i
88382	50	i
91432	49	i
94481	55	i
97536	56	i
2600	41	d
5241	51	d
7898	44	d
10558	52	d
13201	60	d
15861	42	d
18520	59	d
21120	60	d
23763	51	d
26406	53	d
29053	54	d
31696	51	d
34347	48	d
36998	41	d
39598	43	d
42246	45	d
44896	42	d
47539	60	d
50180	47	d
52839	47	d
55481	57	d
58126	59	d
60726	41	d
63373	54	d
66032	42	d
68676	42	d
71336	54	d
73995	43	d
76640	58	d
79240	45	d
81886	46	d
84535	57	d
87182	44	d
89832	50	d
92481	54	d
95136	44	d
97792	60	d
