2492	2641	d
5142	5318	d
7779	7975	d
10435	10610	d
13082	13281	d
15760	15938	d
18406	18576	d
20991	21180	d
23646	23812	d
26290	26461	d
28937	29135	d
31596	31765	d
34240	34429	d
36879	37053	d
42110	42308	d
44760	44941	d
47427	47605	d
50075	50239	d
52716	52858	d
55365	55520	d
57995	58184	d
60594	60791	d
63254	63411	d
65884	66060	d
68531	68717	d
71178	71358	d
73857	74027	d
76483	76680	d
81725	81924	d
84387	84573	d
87055	87205	d
89679	89849	d
92339	92508	d
94965	95163	d
97615	97794	d
2843	3175	i
5894	6223	i
8937	9269	i
11987	12325	i
15042	15373	i
18090	18426	i
21141	21462	i
24193	24527	i
27238	27581	i
30304	30620	i
33348	33667	i
36416	36703	i
42472	42791	i
45514	45855	i
48580	48902	i
51620	51927	i
54663	54987	i
57708	58035	i
60755	61063	i
63785	64117	i
66834	67150	i
69881	70215	i
72940	73277	i
75986	76321	i
82077	82401	i
85137	85466	i
88203	88511	i
91221	91557	i
94271	94601	i
97323	97634	i
